LSOA11,PROCODE3,EVENT_COUNT
E01010057,RXK,5086
E01030147,RGR,5086
E01003097,RJ1,5083
E01004005,RJZ,5082
E01007905,RHQ,5081
E01026050,RWD,5080
E01028314,RK5,5080
E01004491,RJ7,5079
E01013555,RTG,5078
E01018310,RJR,5077
E01001173,RJ6,5076
E01013443,RCB,5076
E01019937,RH8,5075
E01005114,R0A,5070
E01020368,RDZ,5070
E01010560,RL4,5068
E01020775,RLN,5067
E01003539,R1H,5067
E01025148,RTX,5066
E01008825,RLN,5066
E01005221,R0A,5066
E01007976,RHQ,5065
E01008714,RLN,5065
E01007998,RHQ,5065
E01026370,RWD,5062
E01027740,RCD,5061
E01008702,RLN,5060
E01018985,REF,5059
E01004055,RJ1,5059
E01008038,RHQ,5058
E01027816,RCB,5057
E01028522,RTH,5057
E01026115,RWD,5056
E01019155,RTX,5054
E01003980,RJ1,5054
E01027788,RCB,5054
E01010104,RXK,5053
E01030204,RGQ,5053
E01003394,RJ7,5052
E01019952,RH8,5051
E01008061,RHQ,5051
E01021060,RXH,5051
E01006828,RBN,5050
E01027794,RCB,5049
E01020300,RBZ,5048
E01029308,RBA,5046
E01010363,RBK,5046
E01010564,RL4,5045
E01009879,RNA,5044
E01008831,RLN,5043
E01017993,RGT,5043
E01008334,RTD,5041
E01030200,RGQ,5041
E01018553,RJR,5040
E01005268,R0A,5039
E01010371,RBK,5039
E01027611,RTR,5038
E01013480,RTG,5038
E01008768,RLN,5036
E01008297,RTD,5036
E01026121,RWD,5035
E01013646,RWE,5034
E01017997,RGT,5034
E01007941,RHQ,5033
E01026426,RM1,5033
E01030791,RDU,5031
E01026897,RM1,5030
E01004721,RYJ,5028
E01020406,RDZ,5027
E01009947,RXK,5027
E01030189,RGQ,5026
E01004150,RVR,5025
E01027921,RCB,5025
E01013382,RCB,5024
E01018054,RGT,5024
E01013335,RCB,5024
E01023776,RWH,5022
E01030560,RVR,5021
E01013716,RWE,5020
E01029314,RBA,5019
E01020294,RBZ,5019
E01010062,RXK,5018
E01020105,RBZ,5018
E01000905,RAL,5018
E01012094,RTR,5017
E01008002,RHQ,5015
E01001097,RJ6,5015
E01008311,RTD,5013
E01001562,RAP,5012
E01002303,RF4,5012
E01031161,RKB,5011
