LSOA11,EVENT_COUNT
E01001257,3981
E01001258,4137
E01001259,3448
E01001260,4965
E01001261,5127
E01001262,3949
E01001263,4186
E01001264,4129
E01001265,3130
E01001266,4177
E01001267,5074
E01001268,4845
E01001269,3936
E01001270,2930
E01001271,3580
E01001272,3849
E01001273,3889
E01001274,3034
E01001275,4245
E01001276,3725
E01001277,4145
E01001278,4448
E01001279,3513
E01001280,4277
E01001281,3583
E01001282,4068
E01001283,4689
E01001284,3668
E01001285,4096
E01001286,3287
E01001287,3655
E01001288,3022
E01001289,3160
E01001290,4118
E01001291,4098
E01001292,4383
E01001293,3725
E01001294,5264
E01001295,4257
E01001296,3742
E01001297,4523
E01001298,5815
E01001299,4153
E01001300,3437
E01001301,4132
E01001302,3719
E01001303,3359
E01001304,3382
E01001305,3394
E01001306,3925
E01001307,3597
E01001308,4612
E01001309,3432
E01001310,4174
E01001311,4414
E01001312,4193
E01001313,3368
E01001314,2999
E01001315,3046
E01001316,3637
E01001317,4205
E01001318,4352
E01001319,2860
E01001320,2970
E01001321,5845
E01001322,3960
E01001323,3745
E01001324,3311
E01001325,4379
E01001326,4003
E01001327,4304
E01001328,3731
E01001329,4112
E01001330,4773
E01001331,3066
E01001332,3479
E01001333,5434
E01001334,3872
E01001335,5213
E01001336,4808
E01001337,4039
E01001338,5473
E01001339,3883
E01001340,4083
E01001341,3390
E01001342,4012
E01001343,3394
E01001344,5003
E01001345,3703
E01001346,3853
E01001347,3629
E01001348,3881
E01001349,3414
E01001350,3701
E01001351,5229
E01001352,3570
E01001353,3876
E01001354,5627
E01001355,5378
E01001356,5459
E01001357,3597
E01001358,3127
E01001359,6029
E01001360,5124
E01001361,4916
E01001362,4937
E01001363,3771
E01001364,5250
E01001365,6188
E01001366,4797
E01001367,5829
E01001368,4547
E01001369,4782
E01001370,4941
E01001371,5444
E01001372,4434
E01001373,4148
E01001374,4311
E01001375,3837
E01001376,4763
E01001377,3244
E01001379,3485
E01001380,5010
E01001381,4348
E01001382,3034
E01001383,4047
E01001384,3654
E01001385,3490
E01001386,3756
E01001387,3074
E01001388,3942
E01001389,4241
E01001390,5123
E01001391,5068
E01001392,5744
E01001393,5237
E01001394,5418
E01001395,5451
E01001396,4876
E01001397,6147
E01001398,3918
E01001399,4015
E01001400,5479
E01001401,3921
E01001402,5505
E01001403,5086
E01001404,5067
E01001405,6231
E01001406,4871
E01001407,4575
E01001408,4503
E01001409,5355
E01001410,5700
E01001411,4794
E01001412,5414
E01001413,4886
E01001414,5999
E01001415,4918
E01001416,5486
E01001417,4822
E01001418,6031
E01001419,6226
E01001420,4875
E01001421,6025
E01001422,4064
E01001423,6221
E01001424,4600
E01001425,5740
E01001426,5696
E01001427,5244
E01001428,5912
E01001429,8050
E01001430,5526
E01001431,4581
E01001432,5636
E01001433,5177
E01001434,4452
E01001435,4092
E01001436,5509
E01001437,7316
E01001438,4647
E01001439,5494
E01001440,5105
E01001441,3982
E01001442,5242
E01001444,5063
E01001445,7245
E01001446,5200
E01001447,6407
E01001448,5314
E01001449,4203
